NR_TURNO,SG_UF,SG_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,DS_SIT_TOT_TURNO
1,SP,65439,ITANHAÉM,189,Prefeito,MARCO AURÉLIO GOMES DOS SANTOS,MARCO AURÉLIO,PL,Partido Liberal,PL / PP / PDT / PODE / PRD / DC / MOBILIZA / PMB / AGIR / PSB / AVANTE / Federação PSDB CIDADANIA(PSDB/CIDADANIA),13771,13771,NÃO ELEITO
1,RN,18597,SENADOR ELÓI DE SOUZA,5,Prefeito,OZAEL TEODOSIO DE MELO,BAIA,PP,PROGRESSISTAS,PP / PL / PODE,2298,2298,NÃO ELEITO
1,PI,10375,BOM JESUS,15,Prefeito,MARCOS ANTONIO PARENTE ELVAS COELHO,MARCOS ELVAS,UNIÃO,União Brasil,PP / PSB / UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA),6228,6228,NÃO ELEITO
1,MG,53759,TIRADENTES,328,Prefeito,SIDNEY APARECIDO GONÇALVES,SIDNEY GONÇALVES,PL,Partido Liberal,PP / PODE / PL,1238,1238,NÃO ELEITO
1,SE,31216,CANHOBA,8,Prefeito,EDIRENI CORREIA DO CARMO,EDIRENI,PSD,Partido Social Democrático,PP / PSD,927,927,NÃO ELEITO
1,PB,20419,ITAPORANGA,33,Prefeito,JAILMA ALVES DE SOUSA,DRA JAILMA DE ZECA,MDB,Movimento Democrático Brasileiro,UNIÃO / MDB,2361,2361,NÃO ELEITO
1,PR,75833,GUARAPUAVA,44,Prefeito,ANTENOR GOMES DE LIMA,DR. ANTENOR,PT,Partido dos Trabalhadores,PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE) / PSB,17115,17115,NÃO ELEITO
1,PR,75833,GUARAPUAVA,43,Prefeito,ANTENOR GOMES DE LIMA,DR. ANTENOR,PT,Partido dos Trabalhadores,PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE) / PSB,20004,20004,NÃO ELEITO
1,RN,16497,CARNAUBAIS,47,Prefeito,THIAGO MEIRA MANGUEIRA,DOUTOR THIAGO,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / PSB,3538,3538,NÃO ELEITO
1,TO,93114,COLINAS DO TOCANTINS,4,Prefeito,OLIVEIRA PEREIRA MOTA,OLIVEIRINHA ANDRADE,PSD,Partido Social Democrático,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PSD,651,651,NÃO ELEITO
1,MA,8478,OLHO D ÁGUA DAS CUNHÃS,87,Prefeito,VILIANE NUNES OLIVEIRA DA COSTA,VILIANE,PL,Partido Liberal,PL / MDB / UNIÃO,4600,4600,NÃO ELEITO
1,PR,75396,DIAMANTE DO NORTE,96,Prefeito,ROSELI FÁTIMA  DUARTE RUIPERES,ROSE DO PEDRINHO,MDB,Movimento Democrático Brasileiro,MDB / PODE / PL,1168,1168,NÃO ELEITO
1,MG,53910,TUPACIGUARA,274,Prefeito,CARLOS ALVES DE OLIVEIRA,TENENTE CARLOS,SOLIDARIEDADE,Solidariedade,PP / PSD / SOLIDARIEDADE,3803,3803,NÃO ELEITO
1,PB,22012,SÃO MIGUEL DE TAIPU,44,Prefeito,FELIPPE SALES CARNEIRO DA CUNHA,DR FELIPPE,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),942,942,NÃO ELEITO
1,CE,14958,PACATUBA,57,Prefeito,RAFAEL MARQUES BASTOS,RAFAEL,PSB,Partido Socialista Brasileiro,REPUBLICANOS / PP / PSB / MDB,21031,21031,NÃO ELEITO
1,MA,7757,DUQUE BACELAR,28,Prefeito,AURELIA RAKEL DA COSTA SILVA,AURELIA RAKEL,PP,PROGRESSISTAS,PP / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),2226,2226,NÃO ELEITO
1,SP,62693,CABREÚVA,59,Prefeito,PAULO HENRIQUE DE MELO,PAULINHO DE MELO,AGIR,AGIR,AGIR,1052,1052,NÃO ELEITO
1,BA,35149,FEIRA DA MATA,125,Prefeito,WIM ROCHA TRINDADE,WIM ROCHA,PSB,Partido Socialista Brasileiro,PSB,1626,1626,NÃO ELEITO
1,MG,41343,PIEDADE DE CARATINGA,71,Prefeito,EDINILSON DORNELAS LOPES,EDINILSON LOPES,MDB,Movimento Democrático Brasileiro,MDB / REPUBLICANOS / PL,1180,1180,NÃO ELEITO
1,SP,61565,POTIM,190,Prefeito,MARIA RODINEIA RODRIGUES PAIXAO,NÉIA DA SAÚDE,PL,Partido Liberal,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PSD / PL,2683,2683,NÃO ELEITO
1,MG,47856,MANGA,166,Prefeito,VINICIUS LIMA RAMOS,VINICIUS INTERPOP,UNIÃO,União Brasil,REPUBLICANOS / PDT / MDB / PL / UNIÃO,2995,2995,NÃO ELEITO
1,BA,39926,SÃO JOSÉ DA VITÓRIA,166,Prefeito,DAMIÃO DE SOUZA CONCEIÇÃO,GALEGO,PP,PROGRESSISTAS,PP / DC / UNIÃO,1992,1992,NÃO ELEITO
1,PA,4863,MOJUÍ DOS CAMPOS,20,Prefeito,MARCO ANTÔNIO MACHADO LIMA,MARCO ANTÔNIO,MDB,Movimento Democrático Brasileiro,REPUBLICANOS / UNIÃO / MDB,9496,9496,NÃO ELEITO
1,MG,40401,MAMONAS,109,Prefeito,JOSE NERES SILVA,ZÉ GALEGO,UNIÃO,União Brasil,UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA),2084,2084,NÃO ELEITO
1,MG,49972,PERDÕES,216,Prefeito,KEILA ALVES CARDOSO,KEILA,PSDB,Partido da Social Democracia Brasileira,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / MOBILIZA,1286,1286,NÃO ELEITO
