Territorialidades,Taxa de Educacao 2010
Manfrinópolis (PR),85.4
Manga (MG),76.63
Mangaratiba (RJ),95.9
Mangueirinha (PR),90.53
Manhuaçu (MG),91.42
Manhumirim (MG),87.26
Manicoré (AM),83.25
Manoel Emídio (PI),76.12
Manoel Ribas (PR),86.34
Manoel Urbano (AC),67.5
Manoel Viana (RS),90.23
Manoel Vitorino (BA),72.19
Mansidão (BA),82.46
Mantena (MG),84.57
Mantenópolis (ES),81.39
Maquiné (RS),92.41
Maraã (AM),81.99
Marabá (PA),88.64
Marabá Paulista (SP),89.65
Maracaçumé (MA),74.53
Maracaí (SP),91.82
Maracajá (SC),94.47
Maracaju (MS),92.78
Maracanã (PA),88.0
Maracanaú (CE),90.4
Maracás (BA),75.38
Maragogi (AL),70.65
Maragogipe (BA),77.25
Maraial (PE),64.91
Marajá do Sena (MA),60.02
Maranguape (CE),84.61
Maranhãozinho (MA),72.42
Marapanim (PA),90.56
Marapoama (SP),93.12
Mara Rosa (GO),84.29
Marataízes (ES),90.22
Maratá (RS),96.94
Maraú (BA),74.56
Marau (RS),97.0
Maravilha (AL),69.92
Maravilha (SC),95.02
Maravilhas (MG),92.08
Marcação (PB),66.67
Marcelândia (MT),88.24
Marcelino Ramos (RS),93.58
Marcelino Vieira (RN),69.77
Marcionílio Souza (BA),69.4
Marco (CE),71.4
Marcolândia (PI),65.88
Marcos Parente (PI),74.69
Mar de Espanha (MG),91.99
Marechal Cândido Rondon (PR),96.16
Marechal Deodoro (AL),78.1
Marechal Floriano (ES),90.39
Marechal Thaumaturgo (AC),65.62
Marema (SC),91.58
Maria da Fé (MG),92.21
Maria Helena (PR),85.66
Marialva (PR),93.17
Mariana (MG),93.49
Mariana Pimentel (RS),92.44
Mariano Moro (RS),92.76
Marianópolis do Tocantins (TO),82.03
Mariápolis (SP),91.53
Maribondo (AL),70.31
Maricá (RJ),95.47
Marilac (MG),80.5
Marilândia do Sul (PR),89.53
Marilândia (ES),87.89
Marilena (PR),87.23
Marília (SP),95.94
Mariluz (PR),82.54
Maringá (PR),96.73
Marinópolis (SP),89.68
Mário Campos (MG),91.88
Mariópolis (PR),92.43
Maripá de Minas (MG),89.43
Maripá (PR),96.68
Mari (PB),64.46
Marituba (PA),95.26
Marizópolis (PB),72.93
Marliéria (MG),88.64
Marmeleiro (PR),91.63
Marmelópolis (MG),89.72
Marques de Souza (RS),93.09
Marquinho (PR),86.03
Martinho Campos (MG),91.05
Martinópole (CE),70.13
Martinópolis (SP),91.97
Martins (RN),80.79
Martins Soares (MG),84.41
Maruim (SE),82.34
Marumbi (PR),87.02
Mar Vermelho (AL),70.01
Marzagão (GO),89.3
Mascote (BA),69.53
Massapê (CE),71.51
Massapê do Piauí (PI),56.58
Massaranduba (PB),69.25
Massaranduba (SC),96.56
Mata de São João (BA),88.44
Mata Grande (AL),61.21
Matão (SP),94.26
Mataraca (PB),72.86
Mata Roma (MA),71.52
Mata (RS),92.48
Mata Verde (MG),69.86
Mateiros (TO),73.63
Matelândia (PR),93.27
Materlândia (MG),77.41
Mateus Leme (MG),92.17
Mathias Lobato (MG),79.58
Matias Barbosa (MG),93.43
Matias Cardoso (MG),77.48
Matias Olímpio (PI),65.72
Matina (BA),68.03
Matinha (MA),81.21
Matinhas (PB),68.39
Matinhos (PR),95.77
Matipó (MG),85.09
Mato Castelhano (RS),90.62
Matões do Norte (MA),65.97
Matões (MA),64.23
Mato Grosso (PB),58.48
Mato Leitão (RS),96.2
Mato Queimado (RS),92.41
Mato Rico (PR),81.91
Matos Costa (SC),89.19
Mato Verde (MG),78.66
Matozinhos (MG),94.3
Matrinchã (GO),82.46
Matriz de Camaragibe (AL),68.53
Matupá (MT),90.98
Maturéia (PB),71.87
Matutina (MG),88.3
Mauá da Serra (PR),86.97
Mauá (SP),96.05
Maués (AM),89.72
Maurilândia do Tocantins (TO),76.39
Maurilândia (GO),85.08
Mauriti (CE),70.49
Maxaranguape (RN),78.2
Maximiliano de Almeida (RS),91.19
Mazagão (AP),78.73
Medeiros (MG),94.06
Medeiros Neto (BA),75.92
Medianeira (PR),94.58
Medicilândia (PA),81.65
Medina (MG),77.55
Meleiro (SC),94.63
Melgaço (PA),63.32
Mendes Pimentel (MG),75.67
Mendes (RJ),94.52
Mendonça (SP),93.0
Mercedes (PR),95.72
Mercês (MG),85.87
Meridiano (SP),90.94
Meruoca (CE),81.29
Mesópolis (SP),86.38
Mesquita (MG),80.88
Mesquita (RJ),96.55
Messias (AL),70.1
Messias Targino (RN),67.61
Miguel Alves (PI),62.0
Miguel Calmon (BA),79.58
Miguel Leão (PI),71.35
Miguelópolis (SP),90.18
Miguel Pereira (RJ),93.2
Milagres (BA),77.75
Milagres (CE),71.16
Milagres do Maranhão (MA),64.62
Milhã (CE),71.2
Milton Brandão (PI),62.79
Mimoso de Goiás (GO),81.19
Mimoso do Sul (ES),87.15
Minaçu (GO),86.47
Minador do Negrão (AL),56.11
Minas do Leão (RS),89.75
Minas Novas (MG),77.0
Minduri (MG),91.87
Mineiros do Tietê (SP),92.59
Mineiros (GO),92.45
Ministro Andreazza (RO),87.33
Mirabela (MG),82.61
Miracatu (SP),89.7
Miracema do Tocantins (TO),88.99
Miracema (RJ),89.21
Mirador (MA),70.47
Mirador (PR),85.68
Miradouro (MG),86.29
Mira Estrela (SP),89.55
Miraguaí (RS),90.36
Miraíma (CE),67.73
Miraí (MG),88.67
Miranda do Norte (MA),78.92
Miranda (MS),87.48
Mirandiba (PE),76.33
Mirandópolis (SP),92.81
Mirangaba (BA),74.55
Miranorte (TO),86.25
Mirante (BA),69.82
Mirante da Serra (RO),86.49
Mirante do Paranapanema (SP),87.5
Miraselva (PR),90.14
Mirassolândia (SP),91.05
Mirassol D'Oeste (MT),88.47
Mirassol (SP),95.47
Miravânia (MG),74.03
Mirim Doce (SC),92.26
Mirinzal (MA),83.3
Missal (PR),94.4
Missão Velha (CE),71.95
Mocajuba (PA),89.08
Mococa (SP),94.15
Modelo (SC),93.33
Moeda (MG),91.82
Moema (MG),93.5
Mogeiro (PB),67.72
Mogi das Cruzes (SP),96.05
Mogi Guaçu (SP),95.69
Mogi Mirim (SP),95.59
Moiporá (GO),84.41
Moita Bonita (SE),73.48
Moju (PA),81.25
Mombaça (CE),65.98
Mombuca (SP),90.73
Monção (MA),72.44
Monções (SP),91.1
Mondaí (SC),95.45
Mongaguá (SP),95.15
Monjolos (MG),84.02
Monsenhor Gil (PI),75.26
Monsenhor Hipólito (PI),65.17
Monsenhor Paulo (MG),88.85
Monsenhor Tabosa (CE),70.16
Montadas (PB),74.72
Montalvânia (MG),78.22
Montanha (ES),82.61
Montanhas (RN),69.77
Montauri (RS),93.39
Monte Alegre de Goiás (GO),75.0
Monte Alegre de Minas (MG),88.69
Monte Alegre de Sergipe (SE),66.17
Monte Alegre do Piauí (PI),76.3
Monte Alegre dos Campos (RS),89.07
Monte Alegre do Sul (SP),94.16
Monte Alegre (PA),85.73
Monte Alegre (RN),71.08
Monte Alto (SP),94.81
Monte Aprazível (SP),94.26
Monte Azul (MG),77.41
Monte Azul Paulista (SP),91.94
Monte Belo do Sul (RS),97.6
Monte Belo (MG),89.29
Monte Carlo (SC),87.5
Monte Carmelo (MG),92.39
Monte Castelo (SC),92.62
Monte Castelo (SP),88.08
Monte das Gameleiras (RN),69.5
Monte do Carmo (TO),80.56
Monte Formoso (MG),70.99
Monte Horebe (PB),70.54
Monteiro Lobato (SP),89.51
Monteiro (PB),72.62
Monteirópolis (AL),62.51
Monte Mor (SP),92.94
Monte Negro (RO),85.46
Montenegro (RS),96.25
Montes Altos (MA),80.23
Monte Santo (BA),64.43
Monte Santo de Minas (MG),87.33
Monte Santo do Tocantins (TO),83.69
Montes Claros de Goiás (GO),88.26
Montes Claros (MG),93.75
Monte Sião (MG),92.78
Montezuma (MG),77.43
Montividiu do Norte (GO),82.89
Montividiu (GO),90.55
Morada Nova (CE),71.78
Morada Nova de Minas (MG),90.71
Moraújo (CE),68.02
Moreilândia (PE),74.87
Moreira Sales (PR),84.21
Moreno (PE),83.17
Mormaço (RS),89.78
Morpará (BA),72.36
Morretes (PR),93.23
Morrinhos (CE),71.56
Morrinhos do Sul (RS),91.27
Morrinhos (GO),91.95
Morro Agudo de Goiás (GO),86.54
Morro Agudo (SP),91.57
Morro Cabeça no Tempo (PI),74.9
Morro da Fumaça (SC),94.63
Morro da Garça (MG),89.38
Morro do Chapéu (BA),78.0
Morro do Chapéu do Piauí (PI),64.52
Morro do Pilar (MG),76.51
Morro Grande (SC),93.94
Morro Redondo (RS),90.99
Morro Reuter (RS),98.96
Morros (MA),70.22
Mortugaba (BA),73.51
Morungaba (SP),94.35
Mossâmedes (GO),85.33
Mossoró (RN),86.2
Mostardas (RS),88.75
Motuca (SP),92.5
Mozarlândia (GO),86.8
Muaná (PA),86.99
Mucajaí (RR),82.8
Mucambo (CE),68.39
Mucugê (BA),80.17
Muçum (RS),95.53
Mucuri (BA),81.74
Mucurici (ES),80.13
Muitos Capões (RS),92.61
Muliterno (RS),93.18
Mulungu (CE),77.02
Mulungu do Morro (BA),79.59
Mulungu (PB),64.76
Mundo Novo (BA),77.12
Mundo Novo (GO),78.96
Mundo Novo (MS),88.19
Munhoz de Melo (PR),89.29
Munhoz (MG),89.5
Muniz Ferreira (BA),77.46
Muniz Freire (ES),85.31
Muquém de São Francisco (BA),74.72
Muqui (ES),88.52
Muriaé (MG),92.38
Muribeca (SE),75.31
Murici (AL),69.35
Murici dos Portelas (PI),60.6
Muricilândia (TO),76.14
Muritiba (BA),83.16
Murutinga do Sul (SP),91.52
Mutuípe (BA),76.52
Mutum (MG),81.8
Mutunópolis (GO),82.18
Muzambinho (MG),93.84
Nacip Raydan (MG),77.65
Nantes (SP),86.58
Nanuque (MG),84.48
Não-Me-Toque (RS),96.21
Naque (MG),84.71
Narandiba (SP),88.83
Natalândia (MG),85.68
Natal (RN),91.67
Natércia (MG),90.23
Natividade da Serra (SP),83.44
Natividade (RJ),88.77
Natividade (TO),80.93
Natuba (PB),61.07
Navegantes (SC),95.8
Naviraí (MS),89.88
Nazaré (BA),81.57
Nazaré da Mata (PE),80.8
Nazaré do Piauí (PI),68.85
Nazareno (MG),91.09
Nazaré Paulista (SP),88.78
Nazaré (TO),79.08
Nazarezinho (PB),68.5
Nazária (PI),69.43
Nazário (GO),87.28
Neópolis (SE),77.28
Nepomuceno (MG),88.77
Nerópolis (GO),91.51
Neves Paulista (SP),92.89
Nhamundá (AM),91.06
Nhandeara (SP),92.74
Nicolau Vergueiro (RS),94.34
Nilo Peçanha (BA),73.71
Nilópolis (RJ),97.85
Nina Rodrigues (MA),71.57
Ninheira (MG),65.72
Nioaque (MS),87.8
Nipoã (SP),91.51
Niquelândia (GO),87.6
Nísia Floresta (RN),77.64
Niterói (RJ),97.73
Nobres (MT),88.02
Nonoai (RS),88.98
Nordestina (BA),70.54
Normandia (RR),87.72
Nortelândia (MT),87.42
Nossa Senhora Aparecida (SE),62.25
Nossa Senhora da Glória (SE),73.31
Nossa Senhora das Dores (SE),71.61
Nossa Senhora das Graças (PR),87.55
Nossa Senhora de Lourdes (SE),71.09
Nossa Senhora de Nazaré (PI),74.3
Nossa Senhora do Livramento (MT),77.15
Nossa Senhora do Socorro (SE),89.31
Nossa Senhora dos Remédios (PI),63.96
Nova Aliança do Ivaí (PR),88.58
Nova Aliança (SP),94.27
Nova Alvorada do Sul (MS),90.62
Nova Alvorada (RS),91.75
Nova América da Colina (PR),86.16
Nova América (GO),83.81
Nova Andradina (MS),91.48
Nova Araçá (RS),97.52
Nova Aurora (GO),89.84
Nova Aurora (PR),94.99
Nova Bandeirantes (MT),92.14
Nova Bassano (RS),96.71
Nova Belém (MG),75.68
Nova Boa Vista (RS),97.5
Nova Brasilândia D'Oeste (RO),88.75
Nova Brasilândia (MT),79.85
Nova Bréscia (RS),96.27
Nova Campina (SP),90.4
Nova Canaã (BA),68.57
Nova Canaã do Norte (MT),87.52
Nova Canaã Paulista (SP),88.61
Nova Candelária (RS),97.84
Nova Cantu (PR),82.8
Nova Castilho (SP),91.29
Nova Colinas (MA),77.47
Nova Crixás (GO),80.91
Nova Cruz (RN),68.52
Nova Era (MG),93.17
Nova Erechim (SC),94.23
Nova Esperança do Piriá (PA),73.68
Nova Esperança do Sudoeste (PR),90.84
Nova Esperança do Sul (RS),94.69
Nova Esperança (PR),91.19
Nova Europa (SP),92.85
Nova Fátima (BA),76.38
Nova Fátima (PR),86.38
Nova Floresta (PB),71.38
Nova Friburgo (RJ),94.97
Nova Glória (GO),84.83
Nova Granada (SP),93.1
Nova Guarita (MT),88.76
Nova Guataporanga (SP),87.28
Nova Hartz (RS),96.68
Nova Ibiá (BA),70.99
Nova Iguaçu de Goiás (GO),89.45
Nova Iguaçu (RJ),95.37
Nova Independência (SP),92.33
Nova Iorque (MA),69.2
Nova Ipixuna (PA),78.09
Novais (SP),88.96
Nova Itaberaba (SC),90.86
Nova Itarana (BA),69.44
Nova Lacerda (MT),88.5
Nova Laranjeiras (PR),87.63
Nova Lima (MG),97.13
Nova Londrina (PR),91.47
Nova Luzitânia (SP),88.23
Nova Mamoré (RO),86.93
Nova Marilândia (MT),88.65
Nova Maringá (MT),90.2
Nova Módica (MG),76.01
Nova Monte Verde (MT),91.4
Nova Mutum (MT),96.14
Nova Nazaré (MT),76.53
Nova Odessa (SP),96.4
Nova Olímpia (MT),87.11
Nova Olímpia (PR),86.75
Nova Olinda (CE),76.7
Nova Olinda do Maranhão (MA),72.13
Nova Olinda do Norte (AM),87.18
Nova Olinda (PB),68.25
Nova Olinda (TO),82.84
Nova Pádua (RS),96.37
Nova Palma (RS),96.38
Nova Palmeira (PB),75.34
Nova Petrópolis (RS),97.98
Nova Ponte (MG),91.15
Nova Porteirinha (MG),81.51
Nova Prata do Iguaçu (PR),89.81
Nova Prata (RS),97.12
Nova Ramada (RS),93.52
Nova Redenção (BA),72.85
Nova Resende (MG),91.95
Nova Roma do Sul (RS),95.4
Nova Roma (GO),79.92
Nova Rosalândia (TO),84.64
Nova Russas (CE),71.56
Nova Santa Bárbara (PR),83.59
Nova Santa Helena (MT),88.1
Nova Santa Rita (PI),70.71
Nova Santa Rita (RS),95.46
Nova Santa Rosa (PR),96.8
Nova Serrana (MG),95.18
Nova Soure (BA),68.61
Nova Tebas (PR),81.82
Nova Timboteua (PA),79.94
Nova Trento (SC),96.35
Nova Ubiratã (MT),91.54
Nova União (MG),87.62
Nova União (RO),86.43
Nova Venécia (ES),88.61
Nova Veneza (GO),91.38
Nova Veneza (SC),96.67
Nova Viçosa (BA),80.98
Nova Xavantina (MT),89.25
Novo Acordo (TO),85.02
Novo Airão (AM),84.48
Novo Alegre (TO),86.22
Novo Aripuanã (AM),80.27
Novo Barreiro (RS),89.22
Novo Brasil (GO),86.9
Novo Cabrais (RS),91.27
Novo Cruzeiro (MG),72.28
Novo Gama (GO),93.2
Novo Hamburgo (RS),96.64
Novo Horizonte (BA),78.06
Novo Horizonte do Norte (MT),85.18
Novo Horizonte do Oeste (RO),85.65
Novo Horizonte do Sul (MS),87.03
Novo Horizonte (SC),87.01
Novo Horizonte (SP),92.4
Novo Itacolomi (PR),89.65
Novo Jardim (TO),80.11
Novo Lino (AL),63.86
Novo Machado (RS),92.78
Novo Mundo (MT),88.79
Novo Oriente (CE),65.93
Novo Oriente de Minas (MG),68.77
Novo Oriente do Piauí (PI),67.16
Novo Planalto (GO),81.38
Novo Progresso (PA),91.1
Novo Repartimento (PA),79.42
Novorizonte (MG),78.14
Novo Santo Antônio (MT),87.46
Novo Santo Antônio (PI),62.46
Novo São Joaquim (MT),84.62
Novo Tiradentes (RS),84.72
Novo Triunfo (BA),76.72
Novo Xingu (RS),94.48
Nuporanga (SP),94.59
Óbidos (PA),87.32
Ocara (CE),69.93
Ocauçu (SP),91.0
Oeiras do Pará (PA),81.57
Oeiras (PI),74.49
Oiapoque (AP),90.95
Olaria (MG),82.32
Óleo (SP),94.02
Olho D'Água das Cunhãs (MA),65.57
Olho D'Água das Flores (AL),70.78
Olho-D'Água do Borges (RN),64.89
Olho D'Água do Casado (AL),64.92
Olho D'Água do Piauí (PI),79.09
Olho D'Água Grande (AL),58.03
Olho D'Água (PB),66.42
Olhos-D'Água (MG),82.02
Olímpia (SP),94.44
Olímpio Noronha (MG),85.71
Olinda Nova do Maranhão (MA),74.12
Olinda (PE),92.97
Olindina (BA),70.89
Olivedos (PB),80.63
Oliveira de Fátima (TO),83.24
Oliveira dos Brejinhos (BA),77.92
Oliveira Fortes (MG),83.56
Oliveira (MG),93.88
Olivença (AL),63.34
Onça de Pitangui (MG),88.86
Onda Verde (SP),91.69
Oratórios (MG),84.18
Oriente (SP),93.55
Orindiúva (SP),93.23
Oriximiná (PA),88.53
Orizânia (MG),83.97
Orizona (GO),91.84
Orlândia (SP),94.84
Orleans (SC),95.54
Orobó (PE),70.59
Orocó (PE),76.03
Orós (CE),70.31
Ortigueira (PR),81.67
Osasco (SP),96.52
Oscar Bressane (SP),90.21
Osório (RS),95.81
Osvaldo Cruz (SP),93.53
Otacílio Costa (SC),93.37
Ourém (PA),79.39
Ouriçangas (BA),73.1
Ouricuri (PE),71.23
Ourilândia do Norte (PA),87.44
Ourinhos (SP),95.03
Ourizona (PR),90.98
Ouro Branco (AL),69.47
Ouro Branco (MG),95.31
Ouro Branco (RN),78.95
Ouroeste (SP),90.78
Ouro Fino (MG),91.34
Ourolândia (BA),72.15
Ouro Preto do Oeste (RO),89.64
Ouro Preto (MG),95.05
Ouro (SC),95.73
Ouro Velho (PB),77.09
Ouro Verde de Goiás (GO),88.21
Ouro Verde de Minas (MG),72.37
Ouro Verde do Oeste (PR),89.93
Ouro Verde (SC),88.31
Ouro Verde (SP),86.68
Ouvidor (GO),93.18
Pacaembu (SP),89.66
Pacajá (PA),78.47
Pacajus (CE),81.74
Pacaraima (RR),90.21
Pacatuba (CE),90.62
Pacatuba (SE),70.58
Paço do Lumiar (MA),94.24
Pacoti (CE),79.67
Pacujá (CE),71.85
Padre Bernardo (GO),85.8
Padre Carvalho (MG),73.63
Padre Marcos (PI),58.92
Padre Paraíso (MG),77.32
Paes Landim (PI),74.39
Paial (SC),90.77
Paiçandu (PR),92.4
Paim Filho (RS),92.35
Paineiras (MG),89.04
Painel (SC),89.94
Pains (MG),92.58
Pai Pedro (MG),68.82
Paiva (MG),87.14
Pajeú do Piauí (PI),66.94
Palestina (AL),65.44
Palestina de Goiás (GO),90.77
Palestina do Pará (PA),76.48
Palestina (SP),91.72
Palhano (CE),71.62
Palhoça (SC),96.1
Palmácia (CE),75.91
Palma (MG),88.9
Palmares do Sul (RS),91.91
Palmares Paulista (SP),89.01
Palmares (PE),78.54
Palmas de Monte Alto (BA),71.58
Palma Sola (SC),91.03
Palmas (PR),90.69
Palmas (TO),96.24
Palmeira das Missões (RS),91.29
Palmeira D'Oeste (SP),91.21
Palmeira do Piauí (PI),73.53
Palmeira dos Índios (AL),75.59
Palmeirais (PI),68.15
Palmeirândia (MA),73.85
Palmeirante (TO),80.12
Palmeira (PR),95.77
Palmeiras (BA),82.19
Palmeira (SC),88.71
Palmeiras de Goiás (GO),90.27
Palmeiras do Tocantins (TO),83.14
Palmeirina (PE),66.93
Palmeirópolis (TO),86.72
Palmelo (GO),89.12
Palminópolis (GO),86.99
Palmital (PR),85.64
Palmital (SP),94.38
Palmitinho (RS),91.05
Palmitos (SC),93.11
Palmópolis (MG),70.42
Palotina (PR),94.18
Panamá (GO),84.38
Panambi (RS),97.04
Pancas (ES),82.44
Panelas (PE),62.0
Panorama (SP),91.45
Pantano Grande (RS),89.45
Pão de Açúcar (AL),69.28
Papagaios (MG),90.72
Papanduva (SC),93.23
Paquetá (PI),56.31
Paracambi (RJ),94.54
Paracatu (MG),92.44
Paracuru (CE),79.85
Pará de Minas (MG),96.12
Paragominas (PA),87.07
Paraguaçu (MG),92.75
Paraguaçu Paulista (SP),93.28
Paraíba do Sul (RJ),93.94
Paraibano (MA),69.36
Paraibuna (SP),90.78
Paraipaba (CE),80.06
Paraí (RS),97.25
Paraíso do Norte (PR),90.84
Paraíso do Sul (RS),92.46
Paraíso do Tocantins (TO),93.15
Paraisópolis (MG),91.74
Paraíso (SC),88.93
Paraíso (SP),90.91
Parambu (CE),64.91
Paramirim (BA),79.98
Paramoti (CE),70.22
Paranacity (PR),89.15
Paranaguá (PR),96.12
Paranaíba (MS),89.18
Paranaiguara (GO),86.19
Paranaíta (MT),88.7
Paranapanema (SP),91.06
Paranapoema (PR),86.82
Paranapuã (SP),89.18
Paraná (RN),66.49
Paranatama (PE),62.93
Paranatinga (MT),88.57
Paranã (TO),74.07
Paranavaí (PR),93.0
Paranhos (MS),82.12
Paraopeba (MG),93.89
Parapuã (SP),91.24
Parari (PB),79.15
Paratinga (BA),75.72
Paraty (RJ),91.7
Parauapebas (PA),91.89
Paraúna (GO),88.27
Paraú (RN),72.06
Parazinho (RN),67.08
Pardinho (SP),92.2
Pareci Novo (RS),98.34
Parecis (RO),85.29
Parelhas (RN),82.81
Pariconha (AL),68.04
Parintins (AM),93.97
Paripiranga (BA),71.93
Paripueira (AL),75.81
Pariquera-Açu (SP),93.21
Parisi (SP),89.29
Parnaguá (PI),74.04
Parnaíba (PI),83.53
Parnamirim (PE),75.2
Parnamirim (RN),92.04
Parnarama (MA),64.11
Parobé (RS),95.44
Passabém (MG),82.24
Passa E Fica (RN),67.6
Passagem Franca do Piauí (PI),61.16
Passagem Franca (MA),64.59
Passagem (PB),70.77
Passagem (RN),71.75
Passa Quatro (MG),94.24
Passa Sete (RS),86.9
Passa Tempo (MG),92.28
Passa-Vinte (MG),86.69
Passira (PE),67.85
Passo de Camaragibe (AL),67.77
Passo de Torres (SC),93.13
Passo do Sobrado (RS),94.08
Passo Fundo (RS),96.42
Passos Maia (SC),90.25
Passos (MG),94.48
Pastos Bons (MA),75.59
Patis (MG),76.94
Pato Bragado (PR),96.2
Pato Branco (PR),95.67
Patos de Minas (MG),94.64
Patos do Piauí (PI),60.57
Patos (PB),81.58
Patrocínio do Muriaé (MG),90.18
Patrocínio (MG),93.48
Patrocínio Paulista (SP),93.26
Patu (RN),72.12
Paty do Alferes (RJ),87.7
Pau Brasil (BA),71.81
Paudalho (PE),78.82
Pau D'Arco do Piauí (PI),65.22
Pau D'Arco (PA),77.54
Pau D'Arco (TO),81.32
Pau dos Ferros (RN),81.94
Pauini (AM),70.56
Paula Cândido (MG),90.05
Paula Freitas (PR),94.75
Paulicéia (SP),90.36
Paulínia (SP),96.54
Paulino Neves (MA),69.94
Paulistana (PI),69.91
Paulistânia (SP),89.73
Paulista (PB),67.8
Paulista (PE),93.87
Paulistas (MG),79.95
Paulo Afonso (BA),83.31
Paulo Bento (RS),95.92
Paulo de Faria (SP),89.82
Paulo Frontin (PR),96.31
Paulo Jacinto (AL),68.0
Paulo Lopes (SC),88.92
Paulo Ramos (MA),63.67
Pavão (MG),76.51
Paverama (RS),93.65
Pavussu (PI),64.8
Peabiru (PR),89.58
Peçanha (MG),80.27
Pederneiras (SP),93.37
Pé de Serra (BA),75.64
Pedra Azul (MG),79.9
Pedra Bela (SP),88.4
Pedra Bonita (MG),85.25
Pedra Branca (CE),66.81
Pedra Branca do Amapari (AP),83.02
Pedra Branca (PB),74.45
Pedra do Anta (MG),80.62
Pedra do Indaiá (MG),89.15
Pedra Dourada (MG),86.91
Pedra Grande (RN),75.3
Pedra Lavrada (PB),72.24
Pedralva (MG),91.13
Pedra Mole (SE),72.28
Pedranópolis (SP),90.53
Pedrão (BA),78.12
Pedra (PE),67.02
Pedra Preta (MT),86.87
Pedra Preta (RN),76.91
Pedras Altas (RS),90.13
Pedras de Fogo (PB),69.73
Pedras de Maria da Cruz (MG),77.04
Pedras Grandes (SC),94.96
Pedregulho (SP),92.54
Pedreiras (MA),80.77
Pedreira (SP),95.32
Pedrinhas Paulista (SP),92.9
Pedrinhas (SE),73.35
Pedrinópolis (MG),89.77
Pedro Afonso (TO),89.49
Pedro Alexandre (BA),59.04
Pedro Avelino (RN),71.85
Pedro Canário (ES),81.95
Pedro de Toledo (SP),89.75
Pedro do Rosário (MA),71.35
Pedro Gomes (MS),83.04
Pedro Ii (PI),68.89
Pedro Laurentino (PI),77.7
Pedro Leopoldo (MG),94.69
Pedro Osório (RS),91.29
Pedro Régis (PB),57.14
Pedro Teixeira (MG),88.47
Pedro Velho (RN),68.47
Peixe-Boi (PA),77.84
Peixe (TO),83.49
Peixoto de Azevedo (MT),85.18
Pejuçara (RS),95.49
Pelotas (RS),95.88
Penaforte (CE),77.83
Penalva (MA),79.2
Penápolis (SP),94.53
Pendências (RN),77.03
Penedo (AL),77.17
Penha (SC),96.46
Pentecoste (CE),75.2
Pequeri (MG),91.88
Pequi (MG),91.69
Pequizeiro (TO),80.33
Perdigão (MG),93.15
Perdizes (MG),91.82
Perdões (MG),92.56
Pereira Barreto (SP),91.63
Pereiras (SP),93.43
Pereiro (CE),70.43
Peri Mirim (MA),77.51
Periquito (MG),82.36
Peritiba (SC),97.88
Peritoró (MA),63.33
Perobal (PR),87.74
Pérola D'Oeste (PR),90.27
Perolândia (GO),86.57
Pérola (PR),91.32
Peruíbe (SP),93.95
Pescador (MG),80.48
Pesqueira (PE),74.67
Petrolândia (PE),81.85
Petrolândia (SC),92.46
Petrolina de Goiás (GO),90.05
Petrolina (PE),87.96
Petrópolis (RJ),96.03
Piaçabuçu (AL),68.23
Piacatu (SP),89.09
Piancó (PB),70.74
Piatã (BA),76.26
Piau (MG),86.19
Picada Café (RS),97.67
Piçarra (PA),77.81
Picos (PI),82.3
Picuí (PB),75.34
Piedade de Caratinga (MG),82.34
Piedade de Ponte Nova (MG),84.09
Piedade do Rio Grande (MG),86.16
Piedade dos Gerais (MG),85.27
Piedade (SP),91.38
Piên (PR),95.79
Pilão Arcado (BA),69.91
Pilar (AL),75.52
Pilar de Goiás (GO),87.8
Pilar do Sul (SP),92.65
Pilar (PB),68.36
Pilões (PB),63.83
Pilões (RN),70.41
Pilõezinhos (PB),66.77
Pimenta Bueno (RO),91.65
Pimenta (MG),91.38
Pimenteiras do Oeste (RO),90.44
Pimenteiras (PI),65.29
Pindaí (BA),76.2
Pindamonhangaba (SP),96.13
Pindaré-Mirim (MA),79.94
Pindoba (AL),64.71
Pindobaçu (BA),75.32
Pindorama do Tocantins (TO),85.21
Pindorama (SP),91.78
Pindoretama (CE),78.3
Pingo-D'Água (MG),82.5
Pinhais (PR),96.65
Pinhalão (PR),88.36
Pinhal da Serra (RS),91.72
Pinhal de São Bento (PR),91.15
Pinhal Grande (RS),92.01
Pinhal (RS),90.66
Pinhalzinho (SC),95.05
Pinhalzinho (SP),92.46
Pinhão (PR),87.72
Pinhão (SE),69.84
Pinheiral (RJ),94.7
Pinheirinho do Vale (RS),89.64
Pinheiro Machado (RS),90.19
Pinheiro (MA),82.2
Pinheiro Preto (SC),95.36
Pinheiros (ES),82.79
Pintadas (BA),75.97
Pintópolis (MG),82.27
Pio Ix (PI),68.89
Pio Xii (MA),68.5
Piquerobi (SP),88.65
Piquet Carneiro (CE),73.66
Piquete (SP),95.2
Piracaia (SP),92.42
Piracanjuba (GO),89.93
Piracema (MG),88.15
Piracicaba (SP),96.9
Piracuruca (PI),70.04
Piraí do Norte (BA),73.82
Piraí do Sul (PR),93.31
Piraí (RJ),92.83
Pirajuba (MG),90.99
Pirajuí (SP),92.14
Piraju (SP),94.14
Pirambu (SE),79.97
Piranga (MG),88.37
Pirangi (SP),92.03
Piranguçu (MG),89.17
Piranguinho (MG),92.4
Piranhas (AL),69.51
Piranhas (GO),85.42
Pirapemas (MA),69.91
Pirapetinga (MG),91.36
