Territorialidades,Taxa de Educacao 2010
Auriflama (SP),92.57
Aurilândia (GO),84.7
Aurora (CE),71.95
Aurora do Pará (PA),76.55
Aurora do Tocantins (TO),79.03
Aurora (SC),95.39
Autazes (AM),84.24
Avaí (SP),92.14
Avanhandava (SP),91.25
Avaré (SP),95.19
Aveiro (PA),86.29
Avelino Lopes (PI),76.88
Avelinópolis (GO),86.48
Axixá do Tocantins (TO),76.05
Axixá (MA),83.63
Babaçulândia (TO),79.42
Bacabal (MA),78.6
Bacabeira (MA),81.7
Bacuri (MA),76.34
Bacurituba (MA),76.1
Bady Bassitt (SP),96.1
Baependi (MG),89.95
Bagé (RS),95.07
Bagre (PA),76.02
Baía da Traição (PB),74.8
Baía Formosa (RN),77.12
Baianópolis (BA),69.36
Baião (PA),86.07
Baixa Grande (BA),74.44
Baixa Grande do Ribeiro (PI),79.38
Baixio (CE),76.25
Baixo Guandu (ES),86.85
Balbinos (SP),89.32
Baldim (MG),90.68
Baliza (GO),82.58
Balneário Arroio do Silva (SC),95.06
Balneário Barra do Sul (SC),96.29
Balneário Camboriú (SC),98.5
Balneário Gaivota (SC),93.7
Balneário Piçarras (SC),95.46
Balneário Pinhal (RS),94.81
Bálsamo (SP),92.41
Balsa Nova (PR),95.45
Balsas (MA),87.08
Bambuí (MG),92.38
Banabuiú (CE),69.82
Bananal (SP),91.98
Bananeiras (PB),64.61
Bandeira do Sul (MG),90.29
Bandeira (MG),69.4
Bandeirante (SC),91.08
Bandeirantes do Tocantins (TO),82.4
Bandeirantes (MS),88.01
Bandeirantes (PR),90.93
Bannach (PA),81.72
Banzaê (BA),73.66
Barão de Antonina (SP),90.68
Barão de Cocais (MG),95.33
Barão de Cotegipe (RS),96.17
Barão de Grajaú (MA),77.3
Barão de Melgaço (MT),82.6
Barão de Monte Alto (MG),83.63
Barão do Triunfo (RS),90.25
Barão (RS),96.94
Baraúna (PB),71.71
Baraúna (RN),71.9
Barbacena (MG),94.57
Barbalha (CE),81.21
Barbosa Ferraz (PR),84.21
Barbosa (SP),90.04
Barcarena (PA),91.48
Barcelona (RN),70.49
Barcelos (AM),65.84
Bariri (SP),94.15
Barra (BA),76.46
Barra Bonita (SC),86.43
Barra Bonita (SP),94.42
Barracão (PR),91.66
Barracão (RS),91.28
Barra da Estiva (BA),81.97
Barra D'Alcântara (PI),68.88
Barra de Guabiraba (PE),65.16
Barra de Santana (PB),69.06
Barra de Santa Rosa (PB),62.79
Barra de Santo Antônio (AL),72.06
Barra de São Francisco (ES),84.28
Barra de São Miguel (AL),76.29
Barra de São Miguel (PB),76.39
Barra do Bugres (MT),86.79
Barra do Chapéu (SP),87.74
Barra do Choça (BA),72.29
Barra do Corda (MA),72.29
Barra do Garças (MT),92.76
Barra do Guarita (RS),90.08
Barra do Jacaré (PR),88.19
Barra do Mendes (BA),85.28
Barra do Ouro (TO),77.47
Barra do Piraí (RJ),95.52
Barra do Quaraí (RS),92.6
Barra do Ribeiro (RS),92.97
Barra do Rio Azul (RS),92.04
Barra do Rocha (BA),73.21
Barra dos Coqueiros (SE),86.7
Barra do Turvo (SP),82.9
Barra Funda (RS),94.83
Barra Longa (MG),84.11
Barra Mansa (RJ),96.06
Barras (PI),67.84
Barra Velha (SC),95.37
Barreira (CE),72.54
Barreiras (BA),89.67
Barreiras do Piauí (PI),79.62
Barreirinha (AM),89.72
Barreirinhas (MA),74.63
Barreiros (PE),76.44
Barretos (SP),95.99
Barrinha (SP),91.59
Barro Alto (BA),81.79
Barro Alto (GO),87.32
Barrocas (BA),80.3
Barro (CE),76.63
Barro Duro (PI),72.31
Barrolândia (TO),84.04
Barro Preto (BA),73.82
Barroquinha (CE),63.5
Barros Cassal (RS),84.86
Barroso (MG),93.55
Barueri (SP),95.96
Bastos (SP),93.16
Bataguassu (MS),89.73
Batalha (AL),69.16
Batalha (PI),64.27
Batatais (SP),95.02
Batayporã (MS),87.47
Baturité (CE),77.97
Bauru (SP),96.92
Bayeux (PB),84.51
Bebedouro (SP),95.18
Beberibe (CE),73.95
Bela Cruz (CE),72.91
Belágua (MA),60.8
Bela Vista da Caroba (PR),85.78
Bela Vista de Goiás (GO),90.63
Bela Vista de Minas (MG),93.08
Bela Vista do Maranhão (MA),70.56
Bela Vista do Paraíso (PR),88.07
Bela Vista do Piauí (PI),77.39
Bela Vista do Toldo (SC),94.53
Bela Vista (MS),90.84
Belém (AL),66.67
Belém de Maria (PE),67.51
Belém do Brejo do Cruz (PB),61.85
Belém do Piauí (PI),63.31
Belém do São Francisco (PE),78.29
Belém (PA),96.67
Belém (PB),65.92
Belford Roxo (RJ),95.03
Belmiro Braga (MG),87.19
Belmonte (BA),75.24
Belmonte (SC),90.61
Belo Campo (BA),73.88
Belo Horizonte (MG),97.13
Belo Jardim (PE),75.18
Belo Monte (AL),61.89
Belo Oriente (MG),88.39
Belo Vale (MG),91.43
Belterra (PA),87.6
Beneditinos (PI),67.29
Benedito Leite (MA),70.76
Benedito Novo (SC),95.91
Benevides (PA),93.17
Benjamin Constant (AM),78.11
Benjamin Constant do Sul (RS),86.19
Bento de Abreu (SP),92.13
Bento Fernandes (RN),71.7
Bento Gonçalves (RS),97.77
Bequimão (MA),75.78
Berilo (MG),79.55
Berizal (MG),75.16
Bernardino Batista (PB),69.17
Bernardino de Campos (SP),93.81
Bernardo do Mearim (MA),73.22
Bernardo Sayão (TO),82.01
Bertioga (SP),94.54
Bertolínia (PI),75.07
Bertópolis (MG),70.39
Beruri (AM),74.54
Betânia do Piauí (PI),61.37
Betânia (PE),67.02
Betim (MG),94.66
Bezerros (PE),71.88
Bias Fortes (MG),84.95
Bicas (MG),93.47
Biguaçu (SC),95.39
Bilac (SP),92.24
Biquinhas (MG),89.12
Birigui (SP),95.5
Biritiba-Mirim (SP),91.21
Biritinga (BA),73.86
Bituruna (PR),91.93
Blumenau (SC),98.23
Boa Esperança do Iguaçu (PR),91.61
Boa Esperança do Sul (SP),89.37
Boa Esperança (ES),83.49
Boa Esperança (MG),92.31
Boa Esperança (PR),86.69
Boa Hora (PI),62.09
Boa Nova (BA),68.3
