code_muni,name_muni,area_km2
1711803.0,Juarina,483.6525082661698
1711902.0,Lagoa da Confusão,10561.674975835662
1711951.0,Lagoa do Tocantins,917.9904678166012
1712009.0,Lajeado,318.0781499823221
1712157.0,Lavandeira,467.98978393883715
1712405.0,Lizarda,5715.991333848235
1712454.0,Luzinópolis,281.35692298534786
1712504.0,Marianópolis do Tocantins,2089.5172766248747
1712702.0,Mateiros,9589.31092554401
1712801.0,Maurilândia do Tocantins,736.3562994118296
1713205.0,Miracema do Tocantins,2664.158976637728
1713304.0,Miranorte,1033.2052437309217
1713601.0,Monte do Carmo,3601.207191457392
1713700.0,Monte Santo do Tocantins,1072.7290740934734
1713809.0,Palmeiras do Tocantins,743.274351703681
1713957.0,Muricilândia,1194.1896663451334
1714203.0,Natividade,3241.3300054898427
1714302.0,Nazaré,396.3823467797171
1714880.0,Nova Olinda,1567.33678589492
1715002.0,Nova Rosalândia,514.978426638835
1715101.0,Novo Acordo,2677.5144992662617
1715150.0,Novo Alegre,200.33934215269213
1715259.0,Novo Jardim,1213.48954614176
1715507.0,Oliveira de Fátima,208.7512039303155
1715705.0,Palmeirante,2638.4522593011284
1715754.0,Palmeirópolis,1708.405996232739
1716109.0,Paraíso do Tocantins,1292.1228270447923
1716208.0,Paranã,11216.48106238598
1716307.0,Pau D'arco,1375.8268148712311
1716505.0,Pedro Afonso,2020.003394954945
1716604.0,Peixe,5303.2754176188455
1716653.0,Pequizeiro,1206.1365561480015
1716703.0,Colméia,1161.0924475967515
1717008.0,Pindorama do Tocantins,1560.3769232833386
1717206.0,Piraquê,1361.7057117923882
1717503.0,Pium,10004.905165854703
1717800.0,Ponte Alta do Bom Jesus,1718.3695675249792
1717909.0,Ponte Alta do Tocantins,6541.796685022782
1718006.0,Porto Alegre do Tocantins,506.91628234709225
1718204.0,Porto Nacional,4435.397013383091
1718303.0,Praia Norte,300.92439598713287
1718402.0,Presidente Kennedy,771.7041424131821
1718451.0,Pugmil,400.7338699761111
1718501.0,Recursolândia,2216.1077943651903
1718550.0,Riachinho,512.0445748439438
1718659.0,Rio da Conceição,846.1188432266719
1718709.0,Rio dos Bois,847.2108519080602
1718758.0,Rio Sono,6346.391445497459
1718808.0,Sampaio,222.66265553176558
1718840.0,Sandolândia,3535.063096635652
1718865.0,Santa Fé do Araguaia,1671.885807231744
1718881.0,Santa Maria do Tocantins,1412.021886568132
1718899.0,Santa Rita do Tocantins,3281.5058090531084
1718907.0,Santa Rosa do Tocantins,1804.5064999256874
1719004.0,Santa Tereza do Tocantins,539.6383770995993
1720002.0,Santa Terezinha do Tocantins,274.3677914276393
1720101.0,São Bento do Tocantins,1099.3624829471798
1720150.0,São Félix do Tocantins,1913.183622092198
1720200.0,São Miguel do Tocantins,406.81387896984563
1720259.0,São Salvador do Tocantins,1425.019636717049
1720309.0,São Sebastião do Tocantins,288.9011387704002
1720499.0,São Valério,2520.929971985987
1720655.0,Silvanópolis,1258.864438730101
1720804.0,Sítio Novo do Tocantins,307.06956698830743
1720853.0,Sucupira,1017.952732817448
1720903.0,Taguatinga,2341.7891892647253
1720937.0,Taipas do Tocantins,1104.922885160786
1720978.0,Talismã,2156.148658025287
1721000.0,Palmas,2227.3934256757116
1721109.0,Tocantínia,2609.2073506844263
1721208.0,Tocantinópolis,1083.14599697647
1721257.0,Tupirama,706.779821662742
1721307.0,Tupiratins,888.5606123874228
1722081.0,Wanderlândia,1365.1592734055312
1722107.0,Xambioá,1189.963179151242
2100055.0,Açailândia,5804.3736519027925
2100105.0,Afonso Cunha,371.48951696848815
2100154.0,Água Doce do Maranhão,442.16905517573787
2100204.0,Alcântara,1168.5617239420974
2100303.0,Aldeias Altas,1940.172263539912
2100402.0,Altamira do Maranhão,524.4666056001926
2100436.0,Alto Alegre do Maranhão,392.86662101261214
2100477.0,Alto Alegre do Pindaré,1875.9431326305178
2100501.0,Alto Parnaíba,11127.76082594688
2100550.0,Amapá do Maranhão,502.5630688676964
2100600.0,Amarante do Maranhão,7439.812657460566
2100709.0,Anajatuba,941.0817000709296
2100808.0,Anapurus,608.4229027475255
2100832.0,Apicum-Açu,341.1288701117403
2100873.0,Araguanã,805.1607076609495
2100907.0,Araioses,1788.8126031058455
2100956.0,Arame,2975.1335395743286
2101004.0,Arari,1100.3508563137361
2101103.0,Axixá,160.4555920494451
2101202.0,Bacabal,1657.2651752230008
2101251.0,Bacabeira,542.9124639387059
2101301.0,Bacuri,849.9117234455466
2101350.0,Bacurituba,412.9275009112584
2101400.0,Balsas,13141.654326674656
2101509.0,Barão de Grajaú,2210.073022022076
2101608.0,Barra do Corda,5186.789773481096
2101707.0,Barreirinhas,3046.1962752085487
2101731.0,Belágua,569.3433556513822
2101772.0,Bela Vista do Maranhão,147.4748248001114
2101806.0,Benedito Leite,1785.1084603451966
2101905.0,Bequimão,790.2375653005162
2101939.0,Bernardo do Mearim,247.12666535685344
2101970.0,Boa Vista do Gurupi,400.4186194799581
2102002.0,Bom Jardim,6587.791266710352
2102036.0,Bom Jesus das Selvas,2677.2153889357696
2102077.0,Bom Lugar,444.33707893508614
2102101.0,Brejo,1072.8789867974206
2102150.0,Brejo de Areia,986.7329934293249
2102200.0,Buriti,1475.9709490675
2102309.0,Buriti Bravo,1581.8241117846053
2102325.0,Buriticupu,2545.073691094892
2102358.0,Buritirana,820.5439661202123
2102374.0,Cachoeira Grande,707.2467643093174
2102408.0,Cajapió,544.9522671519428
2102507.0,Cajari,662.926146149962
2102556.0,Campestre do Maranhão,613.5624308164695
2102606.0,Cândido Mendes,1634.9616029909268
2102705.0,Cantanhede,773.0825288488744
2102754.0,Capinzal do Norte,590.2935384072855
2102804.0,Carolina,6266.880051221074
2102903.0,Carutapera,1260.3669115752868
2103000.0,Caxias,5201.872842007321
2103109.0,Cedral,285.04255524318086
2103125.0,Central do Maranhão,319.52306056312887
2103158.0,Centro do Guilherme,1168.5949526856205
2103174.0,Centro Novo do Maranhão,8400.170803056239
2103208.0,Chapadinha,3249.2849149238473
2103257.0,Cidelândia,1462.4240788395657
2103307.0,Codó,4361.441814623938
2103406.0,Coelho Neto,977.2218333097462
2103505.0,Colinas,1979.2291293990775
2103554.0,Conceição do Lago-Açu,725.3587969189985
2103604.0,Coroatá,2263.6950550229703
2103703.0,Cururupu,1256.0952965139768
2103752.0,Davinópolis,333.0614524034364
2103802.0,Dom Pedro,358.88247144385207
2103901.0,Duque Bacelar,317.47331627936336
2104008.0,Esperantinópolis,452.27652656866707
2104057.0,Estreito,2720.900717789262
2104073.0,Feira Nova do Maranhão,1625.5344741665754
2104081.0,Fernando Falcão,5086.405567422446
2104099.0,Formosa da Serra Negra,3691.1261388833314
2104107.0,Fortaleza dos Nogueiras,1853.6795890070948
2104206.0,Fortuna,834.7940593684332
2104305.0,Godofredo Viana,720.3398057330128
2104404.0,Gonçalves Dias,883.6364843553906
2104503.0,Governador Archer,446.18802081847804
2104552.0,Governador Edison Lobão,615.3185231476252
2104602.0,Governador Eugênio Barros,647.165609553663
2104628.0,Governador Luiz Rocha,401.4941624035132
2104651.0,Governador Newton Bello,1143.8297780731045
2104677.0,Governador Nunes Freire,1036.8834156423882
2104701.0,Graça Aranha,272.17678040895873
2104800.0,Grajaú,8863.683900917811
2104909.0,Guimarães,479.02670102981676
2105005.0,Humberto de Campos,1714.405258847135
2105104.0,Icatu,1123.763104143981
2105153.0,Igarapé do Meio,368.5796479952018
2105203.0,Igarapé Grande,346.444324731038
2105302.0,Imperatriz,1369.1487795134685
2105351.0,Itaipava do Grajaú,1244.302152284775
2105401.0,Itapecuru Mirim,1481.2484310209338
2105427.0,Itinga do Maranhão,3583.147205144852
2105450.0,Jatobá,591.7562477242603
2105476.0,Jenipapo dos Vieiras,1961.788317339851
2105500.0,João Lisboa,1137.8817406530652
2105609.0,Joselândia,702.8541252889901
2105658.0,Junco do Maranhão,568.5836206435541
2105708.0,Lago da Pedra,1240.3341597093818
2105807.0,Lago do Junco,327.9916084869577
2105906.0,Lago Verde,631.4320017836791
2105922.0,Lagoa do Mato,1512.6710268269144
2105948.0,Lago dos Rodrigues,220.83162340427032
2105963.0,Lagoa Grande do Maranhão,743.8245494395442
2105989.0,Lajeado Novo,1063.8077282441157
2106003.0,Lima Campos,321.9738343819403
2106102.0,Loreto,3597.815901939422
2106201.0,Luís Domingues,471.3085455363167
2106300.0,Magalhães de Almeida,435.05584455902715
2106326.0,Maracaçumé,635.5304400183733
2106359.0,Marajá do Sena,1403.7918398683553
2106375.0,Maranhãozinho,759.9887885157283
2106409.0,Mata Roma,548.3991441276356
2106508.0,Matinha,410.6216980686712
2106607.0,Matões,2109.169705654987
2106631.0,Matões do Norte,794.54827776337
2106672.0,Milagres do Maranhão,635.7442652543233
2106706.0,Mirador,8522.578063431452
2106755.0,Miranda do Norte,341.2982264469208
2106805.0,Mirinzal,688.0405209728997
2106904.0,Monção,1245.4757173092453
2107001.0,Montes Altos,1488.6056154000487
2107100.0,Morros,1713.5430062803962
2107209.0,Nina Rodrigues,571.406282431122
2107258.0,Nova Colinas,742.8646553600363
2107308.0,Nova Iorque,978.9686984386182
2107357.0,Nova Olinda do Maranhão,2452.89397068827
2107407.0,Olho D'água das Cunhãs,695.5131246795715
2107456.0,Olinda Nova do Maranhão,199.7413325494954
2107506.0,Paço do Lumiar,127.01315923433009
2107605.0,Palmeirândia,531.842465728427
2107704.0,Paraibano,530.750412617046
2107803.0,Parnarama,3246.5951508276935
2107902.0,Passagem Franca,1357.8710267862587
2108009.0,Pastos Bons,1635.7136747098286
2108058.0,Paulino Neves,978.9909124980296
2108108.0,Paulo Ramos,1168.4269584266856
2108207.0,Pedreiras,261.85871568291185
2108256.0,Pedro do Rosário,1755.0551931244022
2108306.0,Penalva,800.735388514825
2108405.0,Peri Mirim,397.8061197946503
2108454.0,Peritoró,824.1989048951824
2108504.0,Pindaré-Mirim,267.99384224071997
2108603.0,Pinheiro,1513.9272130660504
2108702.0,Pio Xii,545.0619753492791
2108801.0,Pirapemas,688.599308027564
2108900.0,Poção de Pedras,990.7021294789125
2109007.0,Porto Franco,1419.9377345870537
2109056.0,Porto Rico do Maranhão,245.19070682855258
2109106.0,Presidente Dutra,772.0207613032416
2109205.0,Presidente Juscelino,355.4307592566337
2109239.0,Presidente Médici,437.9154885662925
2109270.0,Presidente Sarney,725.7039297856855
2109304.0,Presidente Vargas,459.89956203736796
2109403.0,Primeira Cruz,1337.6722039788688
2109452.0,Raposa,79.61426941850341
2109502.0,Riachão,6402.506861970076
2109551.0,Ribamar Fiquene,734.0563505849198
2109601.0,Rosário,648.3648956131366
2109700.0,Sambaíba,2476.731064144193
2109759.0,Santa Filomena do Maranhão,623.7936854040407
2109809.0,Santa Helena,2190.3437688061917
2109908.0,Santa Inês,787.088255660026
2110005.0,Santa Luzia,4835.821744768085
2110039.0,Santa Luzia do Paruá,1009.5574649746841
2110104.0,Santa Quitéria do Maranhão,1430.95004714169
2110203.0,Santa Rita,757.2342181600412
2110237.0,Santana do Maranhão,932.1345092449972
2110278.0,Santo Amaro do Maranhão,1582.5365142476687
2110302.0,Santo Antônio dos Lopes,771.1139068222648
2110401.0,São Benedito do Rio Preto,931.4523750151338
2110500.0,São Bento,457.5036251513391
