municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010
ACORIZAL - MT,MT,DIEGO TAQUES,UNIÃO,0.6602870813397129,0.0,0.628,76.42,21771.43996808935,5.896024688242154
ACRELANDIA - AC,AC,OLAVINHO BOIADEIRO,REPUBLICANOS,0.7387295081967213,13479.780329505742,0.604,84.36,28437.700591969187,7.738140195567039
ACREUNA - GO,GO,CLAUDIOMAR PORTUGAL,PP,0.5858956952320102,13724.035608308606,0.686,85.43,48768.267804154304,13.76863383752355
ACUCENA - MG,MG,NEM DO DUTA,REPUBLICANOS,0.5239375104989081,0.0,0.61,80.19,18542.323605054236,10.963961798750894
ADAMANTINA - SP,SP,JOSÉ TIVERON,NOVO,0.394388194743645,0.0,0.79,93.86,39521.03093377923,84.21054475630417
ADELANDIA - GO,GO,EDINHO DO LATICÍNIO,UNIÃO,0.7146136189747513,0.0,0.702,85.35,21242.054854157595,19.92388269341791
ADOLFO - SP,SP,RICARDO DA GRANADA,PODE,0.693134328358209,0.0,0.73,91.87,26543.323373937023,20.6293872717486
ADRIANOPOLIS - PR,PR,VANDIR VETERINARIO,PSD,0.6820363029417901,0.0,0.667,83.18,58962.7557544757,4.046924216524042
ADUSTINA - BA,BA,JUNINHO PROFESSOR,PSD,0.7481271512451914,0.0,0.546,64.47,16948.80642208295,22.600209386161637
AFOGADOS DA INGAZEIRA - PE,PE,SANDRINHO PALMEIRA,PSB,0.5761358623731804,4970.05541611789,0.657,76.88,13464.277726696651,106.49317818646674
AFONSO BEZERRA - RN,RN,HAROLDO DE JANGO,UNIÃO,0.5479407631607394,1107.1132023249377,0.585,69.32,12756.25057662146,18.80863990407598
AFONSO CLAUDIO - ES,ES,LUCIANO PIMENTA,PP,0.4676873489121676,977.7082518576457,0.667,85.7,18568.993612306087,32.59990826565013
AFONSO CUNHA - MA,MA,PEDRO MEDEIROS,PL,0.5717841032820035,48828.125,0.529,65.36,13845.703125,16.538824702612455
AFRANIO - PE,PE,CLOVES RAMOS,MDB,0.6820757324488668,33201.242369069296,0.588,74.22,11235.675270429474,12.525458365164054
AFUA - PA,PA,SANDRO CUNHA,MDB,0.49941477983613836,2647.980934727923,0.489,71.12,11763.1669535284,4.529236413748487
AGRESTINA - PE,PE,JOSUÉ MENDES,PSB,1.0,6308.086967492325,0.592,67.65,14839.059674502712,118.7213664577624
AGRICOLANDIA - PI,PI,MARCÃO DO POVO,MDB,0.6084494773519163,10121.457489878543,0.599,72.53,9571.457489878543,44.03123215557502
AGROLANDIA - SC,SC,NEGÃO,PL,0.47956925800265526,3639.6724294813466,0.725,94.89,36041.31028207461,53.14979209397716
AGRONOMICA - SC,SC,NEI RODRIGUES,PP,0.2905083896819434,6606.110652353427,0.741,94.42,38459.12469033856,46.69011233567695
AGUA AZUL DO NORTE - PA,PA,VANDIN,UNIÃO,0.545793794647617,4148.230088495575,0.564,88.23,35571.46017699115,2.541708338212218
AGUA BOA - MG,MG,ZOLA,SOLIDARIEDADE,0.49830903790087466,0.0,0.576,72.58,15257.288108666296,9.534076191315773
