municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010,cluster_0,cluster_1,cluster_2,cluster_3
CATALAO - GO,GO,VELOMAR RIOS,MDB,0.5956224658357111,262.175885062092,0.766,94.47,86661.95915299711,29.90697375706878,False,False,True,False
CATANDUVA - SP,SP,PADRE OSVALDO,PL,0.5102364062210389,1832.253802108972,0.785,95.33,45067.06911590711,398.4227640992546,False,False,True,False
CATANDUVAS - PR,PR,ADEMAR,PSD,0.5982269503546099,0.0,0.678,86.4,34077.158721041546,15.96603598484879,False,False,True,False
CATANDUVAS - SC,SC,MONA,PL,0.4967161621930325,3785.727806170736,0.714,93.83,50239.25799734999,53.08197702533998,False,False,True,False
CATARINA - CE,CE,DR RENAN,MDB,0.5730672172516632,0.0,0.618,70.56,15045.20160109343,20.978052203782383,True,False,False,False
CATAS ALTAS - MG,MG,SAULO MORAIS,PRD,0.6083761939750184,18271.51470856934,0.684,93.83,919488.032157866,22.81439910241924,False,False,False,True
CATAS ALTAS DA NORUEGA - MG,MG,PAULINHO TIAGO,MOBILIZA,0.6353130878796023,0.0,0.6,86.44,13116.720257234729,21.96218242388523,True,False,False,False
CATENDE - PE,PE,DONA GRAÇA,PSDB,0.497355247001039,0.0,0.609,73.21000000000001,11213.024007961189,153.77409820658713,True,False,False,False
CATIGUA - SP,SP,MIZINHO,PSD,0.6768409818569904,6425.817506782807,0.751,90.95,21833.78552049122,47.19226299116221,False,False,True,False
CATINGUEIRA - PB,PB,SUÉLIO,UNIÃO,0.65614581018004,22266.7557336896,0.574,64.22999999999999,11778.891115564462,8.515201158217081,True,False,False,False
CATOLANDIA - BA,BA,GIOVANNI,AVANTE,0.5487166708198356,0.0,0.582,74.42,23558.82352941177,4.8886327171348345,True,False,False,False
CATOLE DO ROCHA - PB,PB,LAURINHO MAIA,UNIÃO,0.8443223443223443,0.0,0.64,76.86,16490.23189067545,55.60505617604627,True,False,False,False
CATU - BA,BA,PEQUENO SALES,PT,0.5557044410413476,0.0,0.677,88.88,14442.780593171055,112.71662072220188,False,False,True,False
CATUIPE - RS,RS,PAULINHO,PP,0.5373618275607959,5764.353239566521,0.739,93.93,73565.71362693106,14.877580848125955,False,False,True,False
CATUJI - MG,MG,JÔ,MOBILIZA,0.5225529303467321,0.0,0.54,75.48,11847.652916073968,16.782994411181985,True,False,False,False
CATUNDA - CE,CE,DOUGLAS NEGREIROS,PSB,0.6311326468806784,0.0,0.609,69.98,10731.616238988892,13.314505224128215,True,False,False,False
CATURAI - GO,GO,ALEXANDRE MOURA,UNIÃO,0.6500770755340234,5401.234567901234,0.664,87.4,19438.27160493828,25.309314680567404,False,False,True,False
CATURAMA - BA,BA,TÕE LEÃO,PSD,0.8153713298791019,0.0,0.571,72.12,8852.166044565094,12.338597391356378,True,False,False,False
CATURITE - PB,PB,TITA DE BIU DOMINGOS,PP,0.623620079150177,14274.83821850019,0.623,77.56,11736.771983250856,44.67264876549955,True,False,False,False
CATUTI - MG,MG,DELERMANDO FRANÇA,UNIÃO,0.5368448365334717,21101.498206372653,0.621,72.01,11994.93564043047,16.434286720913843,True,False,False,False
CAVALCANTE - GO,GO,VILMAR KALUNGA,PSB,0.5378653318262554,19826.77658353334,0.584,73.18,39966.6075341751,1.379059598193819,True,False,False,False
CAXAMBU - MG,MG,LUIZ HENRIQUE,PSDB,0.4461601981833196,2137.158054711246,0.743,94.03,17621.343085106382,209.0939464852508,False,False,True,False
CAXAMBU DO SUL - SC,SC,EDI MARCOS,PSD,0.5088185552065716,0.0,0.691,89.23,35572.82184655397,32.71927859845128,False,False,True,False
CAXIAS - MA,MA,GENTIL NETO,PP,0.4870354558935874,5214.7757894669785,0.624,74.25,13460.53779949418,30.176247049404346,True,False,False,False
CAXINGO - PI,PI,MAGNUM CARDOSO,PP,0.6839546191247974,5855.1673944687045,0.488,56.24,9668.850072780204,11.186390128354711,True,False,False,False
CEARA-MIRIM - RN,RN,ANTONIO HENRIQUE,PSD,0.7097212048088939,4183.783100549833,0.616,78.24,12667.698919294698,109.13889789087727,True,False,False,False
CEDRAL - MA,MA,DANILO MORAES,PSB,0.4922176565807496,0.0,0.605,82.86,7700.039184952978,35.8121965026982,True,False,False,False
CEDRAL - SP,SP,IRINEO BEOLCHI JUNIOR,PSD,0.3584126984126984,0.0,0.766,93.69,42249.48486289428,63.77325934260973,False,False,True,False
CEDRO - CE,CE,DR NILSON DINIZ,PSB,0.5311937612477504,0.0,0.627,72.48,11068.967060508414,30.59646897913865,True,False,False,False
CEDRO - PE,PE,RIVA BEZERRA,PSD,0.5049100879989797,0.0,0.615,77.68,11922.513785890853,70.65554784416582,True,False,False,False
CELSO RAMOS - SC,SC,KINHO,UNIÃO,0.542192429022082,0.0,0.719,91.31,23492.691622103383,13.448249565724083,False,False,True,False
CENTENARIO - RS,RS,NENINHO,PL,0.5925632911392406,33076.0749724366,0.701,95.92,44387.357589121646,20.25209638563787,False,False,True,False
CENTENARIO - TO,TO,FOCILIDES CARVALHO,REPUBLICANOS,0.5121032813340506,4692.632566870014,0.569,71.45,30294.22806194275,1.0909050055236442,True,False,False,False
CENTENARIO DO SUL - PR,PR,JUNIOR TAVIAN,PSD,0.5368653421633555,14955.686853766618,0.668,86.44,40476.089364844906,27.38451221973285,False,False,True,False
CENTRAL - BA,BA,IKO,PT,0.5307090765310606,3058.478101296794,0.596,79.99,9452.226572057743,28.841884236258235,True,False,False,False
CENTRAL DE MINAS - MG,MG,GILBERTO CUNHA,MDB,0.7842691520800182,0.0,0.665,79.99,14109.706692594393,30.166770543546875,True,False,False,False
CENTRAL DO MARANHAO - MA,MA,FECHINHA,MDB,0.6850247524752475,28192.8390188892,0.585,73.27,8227.093318297153,22.2018404164554,True,False,False,False
CENTRALINA - MG,MG,DR OSCAR,PSD,1.0,0.0,0.678,88.12,34395.023023415306,31.70444492259245,False,False,True,False
CENTRO DO GUILHERME - MA,MA,AURICÉLIO,PL,0.5475185562509096,48335.02673796791,0.542,71.2,8407.146329606223,10.561401083956495,True,False,False,False
CENTRO NOVO DO MARANHAO - MA,MA,JUNIOR GARIMPEIRO,PSDB,0.6784543558160325,0.0,0.518,74.66,12344.316714821418,1.9365082426754427,True,False,False,False
CEREJEIRAS - RO,RO,SINÉSIO JOSÉ,UNIÃO,0.6078471863706763,2076.777847702958,0.692,89.71000000000001,46761.29641283827,5.709526604250892,False,False,True,False
CERES - GO,GO,EDMARIO,UNIÃO,0.3540274754147586,2721.5821464211194,0.775,92.41,33323.958994828994,103.53461674396236,False,False,True,False
CERQUEIRA CESAR - SP,SP,DIEGO CINTO,MDB,0.8118633912522468,0.0,0.729,93.33,44571.89435930877,41.91803635274663,False,False,True,False
CERQUILHO - SP,SP,DU PILON,MDB,0.4040379567938623,0.0,0.782,96.44,52442.24186150576,349.93477184203465,False,False,True,False
CERRITO - RS,RS,FLAVINHO,PP,0.5970007141156868,18939.39393939394,0.649,87.92,27776.687327823693,12.863276799139673,False,False,True,False
CERRO AZUL - PR,PR,EDINHO DO BAIANO,REPUBLICANOS,0.682169065091013,3099.045493987852,0.573,82.27,25109.52026775753,10.636046737905351,True,False,False,False
CERRO BRANCO - RS,RS,BRUNO,PDT,0.6072968490878938,4734.350341925302,0.661,86.92,23713.30878485008,24.03481624168642,False,False,True,False
CERRO CORA - RN,RN,MACIEL DE DOCA,MDB,0.5323325635103926,0.0,0.607,72.61,12764.727272727272,27.917879918931305,True,False,False,False
CERRO GRANDE - RS,RS,ALVARO,PP,1.0,35729.29802437999,0.674,85.96000000000001,31341.319882303487,32.371689053456414,False,False,True,False
CERRO GRANDE DO SUL - RS,RS,VILMAR SCHWALM,PP,0.4681502983389776,2723.904990193942,0.66,90.15,22138.04750490303,28.249034303741063,False,False,True,False
CERRO LARGO - RS,RS,PEDRO BUTZEN,PP,0.4052804477430344,1459.3214155417731,0.764,95.57,58137.541043414814,77.68126916629274,False,False,True,False
CERRO NEGRO - SC,SC,LAI,CIDADANIA,0.5769750168804861,27132.951462164605,0.621,82.98,42631.896291829966,7.928307772607416,True,False,False,False
CESARIO LANGE - SP,SP,RAMIRO,REPUBLICANOS,0.4540354330708661,0.0,0.706,94.55,38879.09491810164,100.01508220551304,False,False,True,False
CEU AZUL - PR,PR,LAURINDO SPEROTTO,PP,0.4636613206184077,0.0,0.732,93.75,85035.35672409128,8.048511278435104,False,False,True,False
CEZARINA - GO,GO,VALTENIR,UNIÃO,0.6645843344545891,0.0,0.711,88.97,47589.12237330037,19.40181424815504,False,False,True,False
CHA DE ALEGRIA - PE,PE,MARCOS DA ROÇA,REPUBLICANOS,0.5369141223322782,0.0,0.604,75.31,12997.381392483056,264.0969759940075,True,False,False,False
CHA GRANDE - PE,PE,SANDRO ADVOGADO,AVANTE,0.6197364191578271,21245.011194393068,0.599,69.2,12225.883383626984,241.9429456828789,True,False,False,False
CHA PRETA - AL,AL,MAURICIO HOLANDA,MDB,0.6937611408199643,76436.97123519458,0.575,64.49000000000001,29690.52453468697,37.467051172815815,True,False,False,False
CHACARA - MG,MG,BILIM,PL,1.0,7804.878048780488,0.664,88.41,15333.658536585366,20.069624100794893,False,False,True,False
CHALE - MG,MG,BASTIÃO DA RETA,PSDB,0.7563463281958296,9053.497942386832,0.655,83.68,18795.22633744856,28.5547264966131,False,False,True,False
CHAPADA - RS,RS,GELSON SCHERER,PP,0.8007949125596184,7337.526205450734,0.757,95.72,77759.53878406709,13.93921461718507,False,False,True,False
CHAPADA DA NATIVIDADE - TO,TO,ELIO DIONIZIO,REPUBLICANOS,0.5247191011235955,48123.195380173245,0.62,79.31,47793.71190247032,1.8997694554218487,True,False,False,False
CHAPADA DO NORTE - MG,MG,LEANDRO EVANGELISTA,PSD,0.5974310776942355,27570.861952210507,0.598,75.12,10750.41114443262,12.4488419512805,True,False,False,False
CHAPADA DOS GUIMARAES - MT,MT,OSMAR FRONER,UNIÃO,0.6702214930270713,2632.964718272776,0.688,87.37,63959.08372827804,2.875754933548554,False,False,True,False
CHAPADA GAUCHA - MG,MG,RONE RODRIGUES,PSD,0.569709263015551,0.0,0.635,83.24,32627.92391744233,3.794930018278494,True,False,False,False
CHAPADAO DO CEU - GO,GO,VINICIUS TERIN,MDB,0.9575158577961352,5827.505827505827,0.742,95.49,170063.40326340328,5.892253797909413,False,False,False,True
CHAPADAO DO LAGEADO - SC,SC,EUGENIO (GENO),MDB,0.6000812017864393,9687.86440677966,0.704,92.59,33195.254237288136,23.61757417343405,False,False,True,False
